opcode_1,opcode_2
BIND_GLOBAL,FETCH_W
BIND_GLOBAL,FE_RESET_R
BIND_GLOBAL,FUNC_GET_ARGS
BIND_GLOBAL,FUNC_NUM_ARGS
BIND_GLOBAL,INCLUDE_OR_EVAL
BIND_GLOBAL,INIT_ARRAY
BIND_GLOBAL,INIT_FCALL
BIND_GLOBAL,INSTANCEOF
BIND_GLOBAL,IN_ARRAY
BIND_GLOBAL,IS_EQUAL
BIND_GLOBAL,IS_IDENTICAL
BIND_GLOBAL,IS_NOT_EQUAL
BIND_GLOBAL,IS_SMALLER
BIND_GLOBAL,JMP
BIND_GLOBAL,JMPNZ_EX
BIND_GLOBAL,JMPZ
BIND_GLOBAL,JMPZ_EX
BIND_GLOBAL,JMP_FRAMELESS
BIND_GLOBAL,NEW
BIND_GLOBAL,NOP
BIND_GLOBAL,OP_DATA
BIND_GLOBAL,POST_INC
BIND_GLOBAL,PRE_INC
BIND_GLOBAL,QM_ASSIGN
BIND_GLOBAL,RETURN
BIND_GLOBAL,ROPE_INIT
BIND_GLOBAL,SEND_VAL_EX
BIND_GLOBAL,SEND_VAR
BIND_GLOBAL,SEND_VAR_EX
BIND_GLOBAL,STRLEN
BIND_GLOBAL,SWITCH_STRING
BIND_GLOBAL,TYPE_CHECK
BIND_GLOBAL,UNSET_CV
BIND_GLOBAL,UNSET_DIM
BIND_GLOBAL,UNSET_OBJ
BIND_LEXICAL,ASSIGN
BIND_LEXICAL,ASSIGN_DIM
BIND_LEXICAL,ASSIGN_OBJ
BIND_LEXICAL,BIND_LEXICAL
BIND_LEXICAL,FETCH_DIM_W
BIND_LEXICAL,FETCH_OBJ_W
BIND_LEXICAL,FREE
BIND_LEXICAL,INIT_ARRAY
BIND_LEXICAL,RETURN
BIND_LEXICAL,SEND_VAL
BIND_LEXICAL,SEND_VAL_EX
BIND_STATIC,ASSIGN
BIND_STATIC,ASSIGN_DIM
BIND_STATIC,ASSIGN_OBJ
BIND_STATIC,ASSIGN_REF
BIND_STATIC,BEGIN_SILENCE
BIND_STATIC,BIND_GLOBAL
BIND_STATIC,BIND_LEXICAL
BIND_STATIC,BIND_STATIC
BIND_STATIC,BOOL
BIND_STATIC,BOOL_NOT
BIND_STATIC,CAST
BIND_STATIC,CHECK_FUNC_ARG
BIND_STATIC,CONCAT
BIND_STATIC,COUNT
BIND_STATIC,DEFINED
BIND_STATIC,DO_FCALL
BIND_STATIC,ECHO
BIND_STATIC,FETCH_CLASS
BIND_STATIC,FETCH_CONSTANT
BIND_STATIC,FETCH_DIM_IS
BIND_STATIC,FETCH_DIM_R
BIND_STATIC,FETCH_DIM_RW
BIND_STATIC,FETCH_IS
BIND_STATIC,FETCH_OBJ_IS
BIND_STATIC,FETCH_OBJ_R
BIND_STATIC,FETCH_R
BIND_STATIC,FETCH_THIS
BIND_STATIC,FETCH_W
BIND_STATIC,FE_RESET_R
BIND_STATIC,FUNC_GET_ARGS
BIND_STATIC,INIT_ARRAY
BIND_STATIC,INIT_FCALL
BIND_STATIC,INIT_USER_CALL
BIND_STATIC,INSTANCEOF
BIND_STATIC,IS_EQUAL
BIND_STATIC,IS_IDENTICAL
BIND_STATIC,IS_NOT_EQUAL
BIND_STATIC,IS_SMALLER
BIND_STATIC,JMP
BIND_STATIC,JMPNZ_EX
BIND_STATIC,JMPZ
BIND_STATIC,JMPZ_EX
BIND_STATIC,JMP_FRAMELESS
BIND_STATIC,MUL
BIND_STATIC,NEW
BIND_STATIC,NOP
BIND_STATIC,OP_DATA
BIND_STATIC,PRE_INC
BIND_STATIC,RETURN
BIND_STATIC,RETURN_BY_REF
BIND_STATIC,ROPE_INIT
BIND_STATIC,SEND_VAL
BIND_STATIC,SEND_VAL_EX
BIND_STATIC,SEND_VAR
BIND_STATIC,SEND_VAR_EX
BIND_STATIC,STRLEN
BIND_STATIC,THROW
BIND_STATIC,TYPE_CHECK
BIND_STATIC,UNSET_DIM
BOOL,ASSIGN
BOOL,ASSIGN_DIM
BOOL,ASSIGN_OBJ
BOOL,ASSIGN_OP
BOOL,BEGIN_SILENCE
BOOL,BIND_GLOBAL
BOOL,BOOL
BOOL,BOOL_NOT
BOOL,BW_AND
BOOL,CAST
BOOL,CHECK_FUNC_ARG
BOOL,CONCAT
BOOL,COUNT
BOOL,DECLARE_CLASS
BOOL,DEFINED
BOOL,DO_FCALL
BOOL,ECHO
BOOL,FETCH_CONSTANT
BOOL,FETCH_DIM_IS
BOOL,FETCH_DIM_R
BOOL,FETCH_DIM_RW
BOOL,FETCH_DIM_W
BOOL,FETCH_IS
BOOL,FETCH_OBJ_IS
BOOL,FETCH_OBJ_R
BOOL,FETCH_OBJ_W
BOOL,FETCH_R
BOOL,FETCH_RW
BOOL,FETCH_THIS
BOOL,FETCH_UNSET
BOOL,FETCH_W
BOOL,FE_FREE
BOOL,FE_RESET_R
BOOL,FREE
BOOL,INCLUDE_OR_EVAL
BOOL,INIT_ARRAY
BOOL,INIT_FCALL
BOOL,IN_ARRAY
BOOL,IS_EQUAL
BOOL,IS_IDENTICAL
BOOL,IS_NOT_EQUAL
BOOL,IS_SMALLER
BOOL,JMP
BOOL,JMPNZ
BOOL,JMPNZ_EX
BOOL,JMPZ
BOOL,JMPZ_EX
BOOL,JMP_FRAMELESS
BOOL,NEW
BOOL,NOP
BOOL,OFF
BOOL,OP_DATA
BOOL,PRE_INC
BOOL,QM_ASSIGN
BOOL,RETURN
BOOL,ROPE_INIT
BOOL,SEND_UNPACK
BOOL,SEND_VAL
BOOL,SEND_VAL_EX
BOOL,SEND_VAR_EX
BOOL,STRLEN
BOOL,SUB
BOOL,SWITCH_STRING
BOOL,TYPE_CHECK
BOOL,UNSET_CV
BOOL,UNSET_DIM
BOOL_NOT,ASSIGN
BOOL_NOT,ASSIGN_DIM
BOOL_NOT,ASSIGN_OBJ
BOOL_NOT,ASSIGN_OP
BOOL_NOT,BIND_LEXICAL
BOOL_NOT,BOOL
BOOL_NOT,BOOL_NOT
BOOL_NOT,BW_AND
BOOL_NOT,CAST
BOOL_NOT,DO_FCALL
BOOL_NOT,END_SILENCE
BOOL_NOT,FETCH_DIM_R
BOOL_NOT,FETCH_DIM_W
BOOL_NOT,FETCH_OBJ_R
BOOL_NOT,FETCH_OBJ_W
BOOL_NOT,FETCH_R
BOOL_NOT,FETCH_W
BOOL_NOT,FE_FREE
BOOL_NOT,INIT_ARRAY
BOOL_NOT,IS_EQUAL
BOOL_NOT,IS_IDENTICAL
BOOL_NOT,IS_NOT_EQUAL
BOOL_NOT,IS_SMALLER
BOOL_NOT,JMPNZ
BOOL_NOT,JMPNZ_EX
BOOL_NOT,JMPZ
BOOL_NOT,JMPZ_EX
BOOL_NOT,QM_ASSIGN
BOOL_NOT,RETURN
BOOL_NOT,SEND_VAL
BOOL_NOT,SEND_VAL_EX
BOOL_NOT,TYPE_CHECK
BOOL_XOR,BOOL_NOT
BOOL_XOR,FREE
BOOL_XOR,JMPZ
BW_AND,ADD
BW_AND,ASSIGN
BW_AND,ASSIGN_DIM
BW_AND,ASSIGN_DIM_OP
BW_AND,ASSIGN_OBJ
BW_AND,ASSIGN_OP
BW_AND,BOOL
BW_AND,BOOL_NOT
BW_AND,BW_AND
BW_AND,BW_NOT
BW_AND,BW_OR
BW_AND,BW_XOR
BW_AND,CAST
BW_AND,CHECK_FUNC_ARG
BW_AND,CONCAT
BW_AND,DIV
BW_AND,ECHO
BW_AND,FETCH_CONSTANT
BW_AND,FETCH_DIM_R
BW_AND,FETCH_DIM_W
BW_AND,FETCH_OBJ_R
BW_AND,FETCH_OBJ_RW
BW_AND,FETCH_OBJ_W
BW_AND,FETCH_W
BW_AND,FREE
BW_AND,INIT_ARRAY
BW_AND,INIT_FCALL
BW_AND,IS_EQUAL
BW_AND,IS_IDENTICAL
BW_AND,IS_NOT_EQUAL
BW_AND,IS_SMALLER
BW_AND,JMPNZ
BW_AND,JMPNZ_EX
BW_AND,JMPZ
BW_AND,JMPZ_EX
BW_AND,MUL
BW_AND,OP_DATA
BW_AND,PRE_DEC
