ngram,idf
ASSIGN SWITCH_LONG,7.465026291871283
ASSIGN SWITCH_STRING,5.029495915481175
ASSIGN THROW,9.544467833551119
ASSIGN TICKS,8.532866921872639
ASSIGN TYPE_CHECK,3.301029353461049
ASSIGN UNSET_CV,5.971420194962303
ASSIGN UNSET_DIM,5.492682885747813
ASSIGN UNSET_OBJ,8.57938693750753
ASSIGN UNSET_VAR,8.44585554488301
ASSIGN YIELD,10.93076219467101
ASSIGN_DIM ASSIGN,10.93076219467101
ASSIGN_DIM ASSIGN_DIM,10.014471462796854
ASSIGN_DIM FETCH_CONSTANT,10.93076219467101
ASSIGN_DIM JMP,10.014471462796854
ASSIGN_DIM JMPZ,10.93076219467101
ASSIGN_DIM OP_DATA,2.469504635585075
ASSIGN_DIM SEND_VAL_EX,10.93076219467101
ASSIGN_DIM SEND_VAR_EX,10.93076219467101
ASSIGN_DIM_OP JMP,9.832149906002899
ASSIGN_DIM_OP OP_DATA,4.601041289148313
ASSIGN_OBJ ASSIGN_OBJ,10.525297086562844
ASSIGN_OBJ DO_FCALL,10.525297086562844
ASSIGN_OBJ OP_DATA,2.0371208442170996
ASSIGN_OBJ SEND_VAL_EX,10.93076219467101
ASSIGN_OBJ_OP ASSIGN_OBJ_OP,10.93076219467101
ASSIGN_OBJ_OP DO_FCALL,10.237615014111064
ASSIGN_OBJ_OP OP_DATA,5.313991097004437
ASSIGN_OBJ_OP RETURN,10.93076219467101
ASSIGN_OBJ_OP SEND_VAL_EX,10.525297086562844
ASSIGN_OBJ_REF OP_DATA,7.306421261694644
ASSIGN_OP ADD,7.333449934082563
ASSIGN_OP ASSERT_CHECK,10.525297086562844
ASSIGN_OP ASSIGN,4.394795497437652
ASSIGN_OP ASSIGN_DIM,6.64717563281038
ASSIGN_OP ASSIGN_DIM_OP,7.795267978741859
ASSIGN_OP ASSIGN_OBJ,6.696655690073749
ASSIGN_OP ASSIGN_OBJ_OP,8.915859174128745
ASSIGN_OP ASSIGN_OP,4.174993272686754
ASSIGN_OP ASSIGN_REF,10.93076219467101
ASSIGN_OP BEGIN_SILENCE,4.773783209085453
ASSIGN_OP BIND_GLOBAL,8.790696031174738
ASSIGN_OP BIND_LEXICAL,10.525297086562844
ASSIGN_OP BOOL,8.01299146258673
ASSIGN_OP BOOL_NOT,5.389498649512583
ASSIGN_OP BW_AND,4.846262781595837
ASSIGN_OP BW_NOT,9.832149906002899
ASSIGN_OP BW_OR,10.237615014111064
ASSIGN_OP BW_XOR,10.237615014111064
ASSIGN_OP CAST,7.8172468854606345
ASSIGN_OP CHECK_FUNC_ARG,6.168588259873252
ASSIGN_OP CLONE,10.93076219467101
ASSIGN_OP CONCAT,4.770610282044876
ASSIGN_OP COUNT,7.5985576844958045
ASSIGN_OP DIV,8.851320652991173
ASSIGN_OP DO_FCALL,5.699653577816422
